season,week,game_type,home_team,away_team,home_score,away_score,result,elo_local_pre,elo_visita_pre,prob_local,elo_local_post,elo_visita_post
2005,9,REG,TB,CAR,14.0,34.0,-20.0,1525.23,1526.58,0.5906,1513.42,1538.39
2005,9,REG,ARI,SEA,19.0,33.0,-14.0,1470.82,1527.14,0.5125,1460.57,1537.39
2005,9,REG,NO,CHI,17.0,20.0,-3.0,1459.11,1509.34,0.5212,1448.68,1519.76
2005,9,REG,SF,NYG,6.0,24.0,-18.0,1472.19,1527.61,0.5138,1461.91,1537.89
2005,9,REG,GB,PIT,10.0,20.0,-10.0,1456.25,1526.57,0.4924,1446.41,1536.41
2005,9,REG,WAS,PHI,17.0,10.0,7.0,1509.75,1511.31,0.5903,1517.94,1503.12
2005,9,REG,NE,IND,21.0,40.0,-19.0,1511.8,1564.14,0.5182,1501.44,1574.5
2005,10,REG,BUF,KC,14.0,3.0,11.0,1480.65,1517.8,0.54,1489.85,1508.6
2005,10,REG,CHI,SF,17.0,9.0,8.0,1519.76,1461.91,0.6698,1526.37,1455.31
2005,10,REG,DET,ARI,29.0,21.0,8.0,1480.1,1460.57,0.6193,1487.72,1452.96
2005,10,REG,IND,HOU,31.0,17.0,14.0,1574.5,1448.69,0.75,1579.51,1443.69
2005,10,REG,JAX,BAL,30.0,3.0,27.0,1519.02,1463.73,0.6665,1525.69,1457.06
2005,10,REG,MIA,NE,16.0,23.0,-7.0,1480.65,1501.44,0.5633,1469.38,1512.7
2005,10,REG,NYG,MIN,21.0,24.0,-3.0,1537.89,1483.12,0.6658,1524.57,1496.43
2005,10,REG,CAR,NYJ,30.0,3.0,27.0,1538.39,1463.6,0.691,1544.57,1457.42
2005,10,REG,LV,DEN,17.0,31.0,-14.0,1483.44,1535.61,0.5185,1473.07,1545.98
2005,10,REG,ATL,GB,25.0,33.0,-8.0,1536.02,1446.41,0.7089,1521.85,1460.59
2005,10,REG,SEA,LA,31.0,16.0,15.0,1537.39,1501.92,0.6407,1544.57,1494.74
2005,10,REG,TB,WAS,36.0,35.0,1.0,1513.42,1517.94,0.5862,1521.7,1509.66
2005,10,REG,PIT,CLE,34.0,21.0,13.0,1536.41,1478.7,0.6696,1543.02,1472.09
2005,10,REG,PHI,DAL,20.0,21.0,-1.0,1503.12,1518.58,0.5708,1491.7,1529.99
2005,11,REG,ATL,TB,27.0,30.0,-3.0,1521.85,1521.7,0.5927,1509.99,1533.55
2005,11,REG,BAL,PIT,16.0,13.0,3.0,1457.06,1543.02,0.4699,1467.66,1532.42
2005,11,REG,CHI,CAR,13.0,3.0,10.0,1526.37,1544.57,0.5669,1535.03,1535.91
2005,11,REG,CLE,MIA,22.0,0.0,22.0,1472.09,1469.38,0.5962,1480.16,1461.3
2005,11,REG,DAL,DET,20.0,7.0,13.0,1529.99,1487.72,0.6497,1537.0,1480.71
2005,11,REG,NE,NO,24.0,17.0,7.0,1512.7,1448.68,0.6776,1519.15,1442.23
2005,11,REG,NYG,PHI,27.0,17.0,10.0,1524.57,1491.7,0.6372,1531.83,1484.45
2005,11,REG,LA,ARI,28.0,38.0,-10.0,1494.74,1452.96,0.649,1481.76,1465.94
2005,11,REG,TEN,JAX,28.0,31.0,-3.0,1453.74,1525.69,0.49,1443.94,1535.49
2005,11,REG,WAS,LV,13.0,16.0,-3.0,1509.66,1473.07,0.6422,1496.82,1485.91
2005,11,REG,SF,SEA,25.0,27.0,-2.0,1455.31,1544.57,0.4651,1446.0,1553.88
2005,11,REG,CIN,IND,37.0,45.0,-8.0,1543.01,1579.51,0.5409,1532.19,1590.32
2005,11,REG,DEN,NYJ,27.0,0.0,27.0,1545.98,1457.42,0.7076,1551.83,1451.57
2005,11,REG,LAC,BUF,48.0,10.0,38.0,1513.8,1489.85,0.6253,1521.3,1482.35
2005,11,REG,HOU,KC,17.0,45.0,-28.0,1443.69,1508.6,0.5001,1433.69,1518.61
2005,11,REG,GB,MIN,17.0,20.0,-3.0,1460.59,1496.43,0.5419,1449.75,1507.27
2005,12,REG,DET,ATL,7.0,27.0,-20.0,1480.71,1509.99,0.5512,1469.69,1521.02
2005,12,REG,DAL,DEN,21.0,24.0,-3.0,1537.0,1551.83,0.5717,1525.57,1563.26
2005,12,REG,BUF,CAR,9.0,13.0,-4.0,1482.35,1535.91,0.5165,1472.02,1546.24
2005,12,REG,CIN,BAL,42.0,29.0,13.0,1532.19,1467.66,0.6782,1538.62,1461.23
2005,12,REG,HOU,LA,27.0,33.0,-6.0,1433.69,1481.76,0.5243,1423.2,1492.24
2005,12,REG,KC,NE,26.0,16.0,10.0,1518.61,1519.15,0.5917,1526.77,1510.98
2005,12,REG,MIN,CLE,24.0,12.0,12.0,1507.27,1480.16,0.6295,1514.68,1472.75
2005,12,REG,TB,CHI,10.0,13.0,-3.0,1533.55,1535.03,0.5904,1521.74,1546.84
2005,12,REG,TEN,SF,33.0,22.0,11.0,1443.94,1446.0,0.5896,1452.15,1437.8
2005,12,REG,WAS,LAC,17.0,23.0,-6.0,1496.82,1521.3,0.5581,1485.66,1532.46
2005,12,REG,ARI,JAX,17.0,24.0,-7.0,1465.94,1535.49,0.4935,1456.07,1545.36
2005,12,REG,LV,MIA,21.0,33.0,-12.0,1485.91,1461.3,0.6262,1473.39,1473.83
2005,12,REG,PHI,GB,19.0,14.0,5.0,1484.45,1449.75,0.6397,1491.65,1442.54
2005,12,REG,SEA,NYG,24.0,21.0,3.0,1553.88,1531.83,0.6227,1561.42,1524.28
2005,12,REG,NYJ,NO,19.0,21.0,-2.0,1451.57,1442.23,0.6054,1439.46,1454.34
2005,12,REG,IND,PIT,26.0,7.0,19.0,1590.32,1532.42,0.6698,1596.93,1525.82
2005,13,REG,BAL,HOU,16.0,15.0,1.0,1461.23,1423.2,0.6441,1468.34,1416.08
2005,13,REG,CAR,ATL,24.0,6.0,18.0,1546.24,1521.02,0.627,1553.7,1513.56
2005,13,REG,CHI,GB,19.0,7.0,12.0,1546.84,1442.54,0.726,1552.31,1437.06
2005,13,REG,CLE,JAX,14.0,20.0,-6.0,1472.75,1545.36,0.4891,1462.97,1555.14
2005,13,REG,DET,MIN,16.0,21.0,-5.0,1469.69,1514.68,0.5288,1459.11,1525.25
2005,13,REG,IND,TEN,35.0,3.0,32.0,1596.93,1452.15,0.7699,1601.53,1447.54
2005,13,REG,MIA,BUF,24.0,23.0,1.0,1473.83,1472.02,0.595,1481.93,1463.92
2005,13,REG,NO,TB,3.0,10.0,-7.0,1454.34,1521.74,0.4965,1444.41,1531.67
2005,13,REG,NYG,DAL,17.0,10.0,7.0,1524.28,1525.57,0.5907,1532.47,1517.38
2005,13,REG,PIT,CIN,31.0,38.0,-7.0,1525.82,1538.62,0.5746,1514.33,1550.11
2005,13,REG,SF,ARI,10.0,17.0,-7.0,1437.8,1456.07,0.5668,1426.46,1467.4
2005,13,REG,LA,WAS,9.0,24.0,-15.0,1492.24,1485.66,0.6016,1480.21,1497.69
2005,13,REG,KC,DEN,31.0,27.0,4.0,1526.77,1563.26,0.5409,1535.95,1554.08
2005,13,REG,NE,NYJ,16.0,3.0,13.0,1510.98,1439.46,0.6869,1517.25,1433.2
2005,13,REG,LAC,LV,34.0,10.0,24.0,1532.46,1473.39,0.6713,1539.03,1466.82
2005,13,REG,PHI,SEA,0.0,42.0,-42.0,1491.65,1561.42,0.4931,1481.79,1571.28
2005,14,REG,BUF,NE,7.0,35.0,-28.0,1463.92,1517.25,0.5168,1453.59,1527.58
2005,14,REG,CAR,TB,10.0,20.0,-10.0,1553.7,1531.67,0.6227,1541.25,1544.13
2005,14,REG,CIN,CLE,23.0,20.0,3.0,1550.11,1462.97,0.7059,1555.99,1457.09
2005,14,REG,JAX,IND,18.0,26.0,-8.0,1555.14,1601.53,0.5268,1544.6,1612.06
2005,14,REG,MIN,LA,27.0,13.0,14.0,1525.25,1480.21,0.6533,1532.19,1473.28
2005,14,REG,NYJ,LV,26.0,10.0,16.0,1433.2,1466.82,0.545,1442.3,1457.72
2005,14,REG,PIT,CHI,21.0,9.0,12.0,1514.33,1552.31,0.5388,1523.55,1543.09
