game_id,season,game_type,week,away_team,away_score,home_team,home_score,result
2005_13_TEN_IND,2005,REG,13,TEN,3.0,IND,35.0,32.0
2005_13_BUF_MIA,2005,REG,13,BUF,23.0,MIA,24.0,1.0
2005_13_TB_NO,2005,REG,13,TB,10.0,NO,3.0,-7.0
2005_13_DAL_NYG,2005,REG,13,DAL,10.0,NYG,17.0,7.0
2005_13_CIN_PIT,2005,REG,13,CIN,38.0,PIT,31.0,-7.0
2005_13_ARI_SF,2005,REG,13,ARI,17.0,SF,10.0,-7.0
2005_13_WAS_STL,2005,REG,13,WAS,24.0,STL,9.0,-15.0
2005_13_DEN_KC,2005,REG,13,DEN,27.0,KC,31.0,4.0
2005_13_NYJ_NE,2005,REG,13,NYJ,3.0,NE,16.0,13.0
2005_13_OAK_SD,2005,REG,13,OAK,10.0,SD,34.0,24.0
2005_13_SEA_PHI,2005,REG,13,SEA,42.0,PHI,0.0,-42.0
2005_14_NE_BUF,2005,REG,14,NE,35.0,BUF,7.0,-28.0
2005_14_TB_CAR,2005,REG,14,TB,20.0,CAR,10.0,-10.0
2005_14_CLE_CIN,2005,REG,14,CLE,20.0,CIN,23.0,3.0
2005_14_IND_JAX,2005,REG,14,IND,26.0,JAX,18.0,-8.0
2005_14_STL_MIN,2005,REG,14,STL,13.0,MIN,27.0,14.0
2005_14_OAK_NYJ,2005,REG,14,OAK,10.0,NYJ,26.0,16.0
2005_14_CHI_PIT,2005,REG,14,CHI,9.0,PIT,21.0,12.0
2005_14_HOU_TEN,2005,REG,14,HOU,10.0,TEN,13.0,3.0
2005_14_WAS_ARI,2005,REG,14,WAS,17.0,ARI,13.0,-4.0
2005_14_NYG_PHI,2005,REG,14,NYG,26.0,PHI,23.0,-3.0
2005_14_SF_SEA,2005,REG,14,SF,3.0,SEA,41.0,38.0
2005_14_KC_DAL,2005,REG,14,KC,28.0,DAL,31.0,3.0
2005_14_BAL_DEN,2005,REG,14,BAL,10.0,DEN,12.0,2.0
2005_14_MIA_SD,2005,REG,14,MIA,23.0,SD,21.0,-2.0
2005_14_DET_GB,2005,REG,14,DET,13.0,GB,16.0,3.0
2005_14_NO_ATL,2005,REG,14,NO,17.0,ATL,36.0,19.0
2005_15_TB_NE,2005,REG,15,TB,0.0,NE,28.0,28.0
2005_15_KC_NYG,2005,REG,15,KC,17.0,NYG,27.0,10.0
2005_15_DEN_BUF,2005,REG,15,DEN,28.0,BUF,17.0,-11.0
2005_15_ARI_HOU,2005,REG,15,ARI,19.0,HOU,30.0,11.0
2005_15_SD_IND,2005,REG,15,SD,26.0,IND,17.0,-9.0
2005_15_SF_JAX,2005,REG,15,SF,9.0,JAX,10.0,1.0
2005_15_NYJ_MIA,2005,REG,15,NYJ,20.0,MIA,24.0,4.0
